"Freq [kHz]","mag(InducedVoltage(WindingStatorAX)-InducedVoltage(WindingStatorBY)) [V]","mag(InducedVoltage(WindingStatorBY)-InducedVoltage(WindingStatorCZ)) [V]","mag(InducedVoltage(WindingStatorCZ)-InducedVoltage(WindingStatorAX)) [V]"
0,0.0390957191264734,0.19607013666639,0.156974417539917
0.05,8967.55158077784,8967.85626857215,8967.85192067954
0.1,0.184453809733322,0.389854967426374,0.20541285865083
0.15,0.20170706752849,0.327537360983362,0.126972210455788
0.2,0.180578965147196,0.376830839050658,0.196258159254093
0.25,0.723680559805222,0.415786711310536,0.844832135272359
0.3,0.122829008142439,0.398819969230013,0.280620016835784
0.35,4.20994378995535,4.58348956314422,4.40765053782754
0.4,0.118706128902804,0.381325502158558,0.263705431749101
0.45,1.4663447293899,1.26744156130748,1.26539582729421
0.5,0.120680461917144,0.378914838544776,0.258774328156416
0.55,16.1619234383813,16.4787149236571,17.4542290789184
0.6,0.130243518157093,0.385312345545557,0.255367083043983
0.65,4.18466974803893,4.48794348204196,4.19849745472227
0.7,0.134402774769322,0.381233640352176,0.247255440852544
0.75,0.163845400308925,0.463496440107449,0.33113943802679
0.8,0.124919571031458,0.379644465567954,0.25501281190499
0.85,7.66051507094212,7.97130040153998,7.76292759255737
0.9,0.140415755391192,0.388105004611015,0.248050972475858
0.95,2.98911188990558,4.58792852516687,5.45088035035667
1,0.145881923837726,0.372798301409964,0.226918464329049
1.05,12.4620198212141,12.7458157580637,12.793540231259
1.1,0.127318832113309,0.372056992766832,0.244941682957693
1.15,1.12440885992335,0.759974979199419,0.880861783398599
1.2,0.133543985858495,0.377757590823384,0.244293524778445
1.25,1.82064684790412,1.89409077339131,3.45469742609246
1.3,0.143507732024001,0.377823798149092,0.234771339132238
1.35,0.125616036930295,0.393795962261349,0.273368514253039
1.4,0.161832214087741,0.393188179285774,0.23286733143849
1.45,51.9485839545689,52.268700590311,52.1191634622497
1.5,0.123366692707746,0.371618192659715,0.248684589132817
1.55,36.8187115342429,37.0576656152905,36.8464117898073
1.6,0.092075416502124,0.349810746544977,0.258606618131282
1.65,0.132741774213863,0.442600256062504,0.34256222899264
1.7,0.108684516950033,0.360585691570993,0.252075249219033
1.75,1.06305353772904,1.38127965357332,1.2978177584421
1.8,0.113751272569999,0.363208147738005,0.249498792048791
1.85,0.0886325411183434,0.329503053238654,0.285008140799437
1.9,0.115007417592963,0.363579092996436,0.248585840457911
1.95,0.243533881021521,0.551404257701876,0.599186068913249
2,0.116686544287433,0.365841029602166,0.249170795997114
2.05,1.07949525485128,1.10356166074667,1.74988437879035
2.1,0.12010851338473,0.366197564289992,0.246099708891592
2.15,0.318893073630119,0.0725084660582961,0.387185613783908
2.2,0.119799049167939,0.365960721132747,0.246168452494023
2.25,0.0408549797844889,0.415158517477513,0.37461522009024
2.3,0.119988443064803,0.366271364843836,0.246285189387739
2.35,0.670520054016497,0.99338032394247,0.910775472655288
2.4,0.118758389095295,0.365101256553706,0.246343874263823
2.45,1.90600496243135,1.67838043621426,1.59071802509827
2.5,0.122070062474184,0.367658210615257,0.245590184107319
2.55,0.429821956836094,0.122275633078885,0.347794191901749
2.6,0.123106818025952,0.367677617225352,0.244570809325126
2.65,0.125972766697069,0.38656845488157,0.262375913166496
2.7,0.122561200512232,0.367621496450988,0.24506098954765
2.75,0.114569837567015,0.261770768970448,0.372955155759456
2.8,0.12285473920877,0.367100006383115,0.244245511703925
2.85,0.125226903361453,0.371552245708883,0.246326882935429
2.9,0.123231288300252,0.368184232692955,0.244954639782996
2.95,4.88234814272438,4.61816298169154,4.58486327587491
3,0.122167053846487,0.366360367592205,0.244232280390432
3.05,1.49620575391434,1.62406438340176,1.82890407350752
3.1,0.12368100972874,0.365782005234143,0.242101628139399
3.15,0.110740163938131,0.348564453836457,0.238657156812371
3.2,0.123105380877659,0.365943985192804,0.242839531877181
3.25,0.269889777825821,0.267692941446878,0.0808244374871159
3.3,0.123416912464303,0.36598998693947,0.242574284891783
3.35,0.164999101528684,0.404270086536764,0.242209021303539
3.4,0.124108630401967,0.366662842644544,0.242554499577263
3.45,0.0859012570822554,0.334475245779549,0.410401222619591
3.5,0.122535229575664,0.365089975837776,0.242564711703075
3.55,0.492182373930732,0.424581602594512,0.0890135691397495
3.6,0.123062584959485,0.36539379204741,0.242335613725472
3.65,0.0842976409552365,0.358673729233089,0.274381423174271
3.7,0.123613959676319,0.365530356508793,0.241919313474533
3.75,0.127547806421801,0.373054657742657,0.245878353445526
3.8,0.12318457179274,0.365009098194121,0.241825998973056
3.85,0.121470823276206,0.350203924372442,0.229849867325504
3.9,0.122928014259327,0.365489560276102,0.242561653736627
3.95,0.121569493691312,0.397960484315147,0.368974709966701
4,0.124054695375961,0.365504360598868,0.241458937467997
4.05,0.139402407978719,0.406489926450123,0.272663695643227
4.1,0.127721073632857,0.367370682372767,0.239649902880738
4.15,0.12887490060706,0.365883320416486,0.237025297381654
4.2,0.125821173256032,0.366313969440445,0.240495381808251
4.25,0.144711422317225,0.36316879883388,0.218918795356799
4.3,0.124546501877803,0.365913221284307,0.241376820375645
4.35,0.124556201128772,0.369251250623318,0.24478382185849
4.4,0.122985164666783,0.366335562355554,0.243425999029421
4.45,0.117445118397224,0.423373540327116,0.423551065498155
4.5,0.123830899032708,0.359270072895601,0.235463368182695
4.55,0.193116990635431,0.365067646655054,0.172445065098969
4.6,0.127914573160178,0.369542521145358,0.241697178702038
4.65,0.136978295496959,0.376951654105483,0.240353028432718
4.7,0.126606277763542,0.367384035426198,0.240778691456814
4.75,0.149452080263027,0.370444376635362,0.221047712567872
4.8,0.12641922401469,0.367352408059676,0.240946977933291
4.85,0.125407148195906,0.365336951445229,0.239946191673284
4.9,0.126474398955908,0.369181386984306,0.242844722375948
4.95,0.0757552861111744,0.389085606541502,0.319708870414824
5,0.124719010001499,0.358085805591532,0.233366795590033
